Institution,Alt Course,RPI Course
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,EGR* E211 ENGINEERING STATICS (3),ENGR 1100 INTRODUCTION TO ENGINEERING ANALYSIS (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,EGR* E212 ENGINEERING DYNAMICS (3),ENGR 2090 ENGINEERING DYNAMICS (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,EGR* E214 ENGINEERING THERMODYNAMICS (3),MANE 2710 THERMODYNAMICS (3)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,ENG 1010 COMPOSITION (3),WRIT 1000 WRITING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,ENG 1020 COMPOSITION II AND LITERATURE (3),WRIT 1000 WRITING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,ENG 2100 CREATIVE WRITING (3),WRIT 1769 INTRODUCTION TO CREATIVE WRITING (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,HIST 1001 WESTERN HISTORY TO THE 1500S (3),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,HIST 1002 WESTERN HISTORY FROM THE 1500S (3),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,MAT* E167 PRINCIPLES OF STATISTICS (3),MGMT 2000 MANAGEMENT ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,MATH 1610 PRECALCULUS (4),NT NOT TRANSFERABLE
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,MATH 2600 CALCULUS I (4),MATH 1010 CALCULUS I (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,"MATH 2610 CALCULUS II (4)
MATH 2620 CALCULUS III: MULTIVARIABLE (4)
MATH 2621 LINEAR ALGEBRA (4)","MATH 1020 CALCULUS II (4)
MATH 2010 MULTIVARIABLE CALCULUS AND MATRIX ALGEBRA (4)"
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,MATH 2622 DIFFERENTIAL EQUATIONS (4),MATH 2400 INTRODUCTION TO DIFFERENTIAL EQUATIONS (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,MECH 2072 FLUID MECHANICS & THERMODYNAMICS (4),ENGR 2250 THERMAL AND FLUIDS ENGINEERING I (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,"NTEC 1100 RADIATION HEALTH SAFETY (2)
NTEC 1110 RADIATION HEALTH SAFETY LAB (1)",MANE 2830 NUCLEAR PHENOMENA FOR ENGINEERING APPLICATIONS (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,NTEC 2300 NUCLEAR TOPICS (2),MANE 1100 INTRODUCTION TO NUCLEAR ENGINEERING (1)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,NTEC 2500 REACTOR THEORY (4),MANE 2400 FUNDAMENTALS OF NUCLEAR ENGINEERING (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,PHL* E101 INTRODUCTION TO PHILOSOPHY (3),PHIL 1110 INTRODUCTION TO PHILOSOPHY (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,PHYS 2201 CALCULUS-BASED PHYSICS I (4),PHYS 1100 PHYSICS I (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,PHYS 2202 CALCULUS-BASED PHYSICS II (4),PHYS 1200 PHYSICS II (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,PSY 1011 GENERAL PSYCHOLOGY I (3),PSYC 1200 INTRODUCTION TO PSYCHOLOGICAL SCIENCE (4)
CONNECTICUT STATE COMMUNITY COLLEGE HOUSATONIC CAMPUS,PSY 2045 ABNORMAL PSYCHOLOGY (3),PSYC 2000 PSYCHOLOGY ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,ART 1000 ART APPRECIATION (3),ARTS 1000 ARTS ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,ART 1450 DIGITAL PHOTOGRAPHY I (3),ARTS 1000 ARTS ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,CAD* 110 INTRODUCTION TO CAD (3),ENGR 1200 ENGINEERING GRAPHICS AND CAD (1)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,CHEM 1210 GENERAL CHEMISTRY I (4),CHEM 1100 CHEMISTRY I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,CIS 1104 INTRODUCTION TO OPERATING SYSTEMS (3),NT NOT TRANSFERABLE
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,CSC 1271 WEB DEVELOPMENT AND DESIGN I (4),ITWS 1000 INFORMATION TECHNOLOGY AND WEB SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,CSC 2213 OBJECT ORIENTED PROGRAMMING (4),CSCI 1100 COMPUTER SCIENCE I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,CSC 2218 SOFTWARE ENGINEERING METHODS (4),CSCI 1000 COMPUTER SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,CSC 2219 INTRODUCTION TO BIOINFORMATICS (3),BIOL 1000 BIOLOGY ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,CSC 2272 WEB DEVELOPMENT AND DESIGN II (4),ITWS 1000 INFORMATION TECHNOLOGY AND WEB SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,"EET 1044 FUNDAMENTALS OF ELECTRIC CIRCUITS & MACHINES (3)
EET 1045 FUNDAMENTALS OF ELECTRIC CIRCUITS & MACHINES LAB (1)",ENGR 2300 ELECTRONIC INSTRUMENTATION (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,EGR 1110 INTRODUCTION TO ENGINEERING (3),ENGR 1000 ENGINEERING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,EGR 1115 PROGRAMMING FOR ENGINEERS (3),ENGR 1000 ENGINEERING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,EGR 2211 ENGINEERING STATICS (3),ENGR 1100 INTRODUCTION TO ENGINEERING ANALYSIS (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,EGR 2212 ENGINEERING DYNAMICS (3),ENGR 2090 ENGINEERING DYNAMICS (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,EGR 2215 THERMODYNAMICS I (4),ENGR 2250 THERMAL AND FLUIDS ENGINEERING I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,EGR 2221 INTRODUCTION TO ELECTRICAL CIRCUIT ANALYSIS (4),ENGR 2300 ELECTRONIC INSTRUMENTATION (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,ENG 1010 COMPOSITION (3),WRIT 1000 WRITING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,ENG 1020 COMPOSITION II AND LITERATURE (3),WRIT 1000 WRITING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,ENG 2100 CREATIVE WRITING (3),WRIT 1769 INTRODUCTION TO CREATIVE WRITING (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,HIST 1001 WESTERN HISTORY TO THE 1500S (3),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,HIST 1002 WESTERN HISTORY FROM THE 1500S (3),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,MATH 1610 PRECALCULUS (4),NT NOT TRANSFERABLE
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,MATH 2600 CALCULUS I (4),MATH 1010 CALCULUS I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,"MATH 2610 CALCULUS II (4)
MATH 2620 CALCULUS III: MULTIVARIABLE (4)
MATH 2621 LINEAR ALGEBRA (4)","MATH 1020 CALCULUS II (4)
MATH 2010 MULTIVARIABLE CALCULUS AND MATRIX ALGEBRA (4)"
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,MATH 2622 DIFFERENTIAL EQUATIONS (4),MATH 2400 INTRODUCTION TO DIFFERENTIAL EQUATIONS (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,MECH 2072 FLUID MECHANICS & THERMODYNAMICS (4),ENGR 2250 THERMAL AND FLUIDS ENGINEERING I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,"NTEC 1100 RADIATION HEALTH SAFETY (2)
NTEC 1110 RADIATION HEALTH SAFETY LAB (1)",MANE 2830 NUCLEAR PHENOMENA FOR ENGINEERING APPLICATIONS (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,NTEC 2300 NUCLEAR TOPICS (2),MANE 1100 INTRODUCTION TO NUCLEAR ENGINEERING (1)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,NTEC 2500 REACTOR THEORY (4),MANE 2400 FUNDAMENTALS OF NUCLEAR ENGINEERING (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,PHY* 221 CALCULUS-BASED PHYSICS I (4),PHYS 1100 PHYSICS I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,PHY* 222 CALCULUS-BASED PHYSICS II (4),PHYS 1200 PHYSICS II (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,PHYS 2201 CALCULUS-BASED PHYSICS I (4),PHYS 1100 PHYSICS I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,PHYS 2202 CALCULUS-BASED PHYSICS II (4),PHYS 1200 PHYSICS II (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,PSY 1011 GENERAL PSYCHOLOGY I (3),PSYC 1200 INTRODUCTION TO PSYCHOLOGICAL SCIENCE (4)
CONNECTICUT STATE COMMUNITY COLLEGE MANCHESTER CAMPUS,PSY 2045 ABNORMAL PSYCHOLOGY (3),PSYC 2000 PSYCHOLOGY ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,ART 1000 ART APPRECIATION (3),ARTS 1000 ARTS ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,ART 1450 DIGITAL PHOTOGRAPHY I (3),ARTS 1000 ARTS ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,CHEM 1210 GENERAL CHEMISTRY I (4),CHEM 1100 CHEMISTRY I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,CIS 1104 INTRODUCTION TO OPERATING SYSTEMS (3),NT NOT TRANSFERABLE
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,CSC 1271 WEB DEVELOPMENT AND DESIGN I (4),ITWS 1000 INFORMATION TECHNOLOGY AND WEB SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,CSC 2213 OBJECT ORIENTED PROGRAMMING (4),CSCI 1100 COMPUTER SCIENCE I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,CSC 2218 SOFTWARE ENGINEERING METHODS (4),CSCI 1000 COMPUTER SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,CSC 2219 INTRODUCTION TO BIOINFORMATICS (3),BIOL 1000 BIOLOGY ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,CSC 2272 WEB DEVELOPMENT AND DESIGN II (4),ITWS 1000 INFORMATION TECHNOLOGY AND WEB SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,"EET 1044 FUNDAMENTALS OF ELECTRIC CIRCUITS & MACHINES (3)
EET 1045 FUNDAMENTALS OF ELECTRIC CIRCUITS & MACHINES LAB (1)",ENGR 2300 ELECTRONIC INSTRUMENTATION (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,EGR 1110 INTRODUCTION TO ENGINEERING (3),ENGR 1000 ENGINEERING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,EGR 1115 PROGRAMMING FOR ENGINEERS (3),ENGR 1000 ENGINEERING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,EGR 2211 ENGINEERING STATICS (3),ENGR 1100 INTRODUCTION TO ENGINEERING ANALYSIS (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,EGR 2212 ENGINEERING DYNAMICS (3),ENGR 2090 ENGINEERING DYNAMICS (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,EGR 2215 THERMODYNAMICS I (4),ENGR 2250 THERMAL AND FLUIDS ENGINEERING I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,EGR 2221 INTRODUCTION TO ELECTRICAL CIRCUIT ANALYSIS (4),ENGR 2300 ELECTRONIC INSTRUMENTATION (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,ENG 1010 COMPOSITION (3),WRIT 1000 WRITING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,ENG 1020 COMPOSITION II AND LITERATURE (3),WRIT 1000 WRITING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,ENG 2100 CREATIVE WRITING (3),WRIT 1769 INTRODUCTION TO CREATIVE WRITING (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,HIST 1001 WESTERN HISTORY TO THE 1500S (3),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,HIST 1002 WESTERN HISTORY FROM THE 1500S (3),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,MAT*167 PRINCIPLES OF STATISTICS (3),ENGR 2600 MODELING AND ANALYSIS OF UNCERTAINTY (3)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,MATH 1610 PRECALCULUS (4),NT NOT TRANSFERABLE
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,MATH 2600 CALCULUS I (4),MATH 1010 CALCULUS I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,"MATH 2610 CALCULUS II (4)
MATH 2620 CALCULUS III: MULTIVARIABLE (4)
MATH 2621 LINEAR ALGEBRA (4)","MATH 1020 CALCULUS II (4)
MATH 2010 MULTIVARIABLE CALCULUS AND MATRIX ALGEBRA (4)"
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,MATH 2622 DIFFERENTIAL EQUATIONS (4),MATH 2400 INTRODUCTION TO DIFFERENTIAL EQUATIONS (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,MECH 2072 FLUID MECHANICS & THERMODYNAMICS (4),ENGR 2250 THERMAL AND FLUIDS ENGINEERING I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,"NTEC 1100 RADIATION HEALTH SAFETY (2)
NTEC 1110 RADIATION HEALTH SAFETY LAB (1)",MANE 2830 NUCLEAR PHENOMENA FOR ENGINEERING APPLICATIONS (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,NTEC 2300 NUCLEAR TOPICS (2),MANE 1100 INTRODUCTION TO NUCLEAR ENGINEERING (1)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,NTEC 2500 REACTOR THEORY (4),MANE 2400 FUNDAMENTALS OF NUCLEAR ENGINEERING (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,PHYS 2201 CALCULUS-BASED PHYSICS I (4),PHYS 1100 PHYSICS I (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,PHYS 2202 CALCULUS-BASED PHYSICS II (4),PHYS 1200 PHYSICS II (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,PSY 1011 GENERAL PSYCHOLOGY I (3),PSYC 1200 INTRODUCTION TO PSYCHOLOGICAL SCIENCE (4)
CONNECTICUT STATE COMMUNITY COLLEGE MIDDLESEX CAMPUS,PSY 2045 ABNORMAL PSYCHOLOGY (3),PSYC 2000 PSYCHOLOGY ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,ART 1000 ART APPRECIATION (3),ARTS 1000 ARTS ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,ART 1450 DIGITAL PHOTOGRAPHY I (3),ARTS 1000 ARTS ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,BIO* H105 INTRODUCTION TO BIOLOGY (4),"BIOL 1010 INTRODUCTION TO BIOLOGY (3)
BIOL 1015 INTRODUCTION TO BIOLOGY LABORATORY (1)"
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,CHEM 1210 GENERAL CHEMISTRY I (4),CHEM 1100 CHEMISTRY I (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,CIS 1104 INTRODUCTION TO OPERATING SYSTEMS (3),NT NOT TRANSFERABLE
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,CSC 1271 WEB DEVELOPMENT AND DESIGN I (4),ITWS 1000 INFORMATION TECHNOLOGY AND WEB SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,CSC 2213 OBJECT ORIENTED PROGRAMMING (4),CSCI 1100 COMPUTER SCIENCE I (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,CSC 2218 SOFTWARE ENGINEERING METHODS (4),CSCI 1000 COMPUTER SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,CSC 2219 INTRODUCTION TO BIOINFORMATICS (3),BIOL 1000 BIOLOGY ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,CSC 2272 WEB DEVELOPMENT AND DESIGN II (4),ITWS 1000 INFORMATION TECHNOLOGY AND WEB SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,"EET 1044 FUNDAMENTALS OF ELECTRIC CIRCUITS & MACHINES (3)
EET 1045 FUNDAMENTALS OF ELECTRIC CIRCUITS & MACHINES LAB (1)",ENGR 2300 ELECTRONIC INSTRUMENTATION (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,EGR 1110 INTRODUCTION TO ENGINEERING (3),ENGR 1000 ENGINEERING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,EGR 1115 PROGRAMMING FOR ENGINEERS (3),ENGR 1000 ENGINEERING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,EGR 2211 ENGINEERING STATICS (3),ENGR 1100 INTRODUCTION TO ENGINEERING ANALYSIS (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,EGR 2212 ENGINEERING DYNAMICS (3),ENGR 2090 ENGINEERING DYNAMICS (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,EGR 2215 THERMODYNAMICS I (4),ENGR 2250 THERMAL AND FLUIDS ENGINEERING I (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,EGR 2221 INTRODUCTION TO ELECTRICAL CIRCUIT ANALYSIS (4),ENGR 2300 ELECTRONIC INSTRUMENTATION (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,ENG 1010 COMPOSITION (3),WRIT 1000 WRITING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,ENG 1020 COMPOSITION II AND LITERATURE (3),WRIT 1000 WRITING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,ENG 2100 CREATIVE WRITING (3),WRIT 1769 INTRODUCTION TO CREATIVE WRITING (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,HIST 1001 WESTERN HISTORY TO THE 1500S (3),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,HIST 1002 WESTERN HISTORY FROM THE 1500S (3),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,MATH 1610 PRECALCULUS (4),NT NOT TRANSFERABLE
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,MATH 2600 CALCULUS I (4),MATH 1010 CALCULUS I (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,"MATH 2610 CALCULUS II (4)
MATH 2620 CALCULUS III: MULTIVARIABLE (4)
MATH 2621 LINEAR ALGEBRA (4)","MATH 1020 CALCULUS II (4)
MATH 2010 MULTIVARIABLE CALCULUS AND MATRIX ALGEBRA (4)"
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,MATH 2622 DIFFERENTIAL EQUATIONS (4),MATH 2400 INTRODUCTION TO DIFFERENTIAL EQUATIONS (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,MECH 2072 FLUID MECHANICS & THERMODYNAMICS (4),ENGR 2250 THERMAL AND FLUIDS ENGINEERING I (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,"NTEC 1100 RADIATION HEALTH SAFETY (2)
NTEC 1110 RADIATION HEALTH SAFETY LAB (1)",MANE 2830 NUCLEAR PHENOMENA FOR ENGINEERING APPLICATIONS (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,NTEC 2300 NUCLEAR TOPICS (2),MANE 1100 INTRODUCTION TO NUCLEAR ENGINEERING (1)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,NTEC 2500 REACTOR THEORY (4),MANE 2400 FUNDAMENTALS OF NUCLEAR ENGINEERING (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,PHYS 2201 CALCULUS-BASED PHYSICS I (4),PHYS 1100 PHYSICS I (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,PHYS 2202 CALCULUS-BASED PHYSICS II (4),PHYS 1200 PHYSICS II (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,PSY 1011 GENERAL PSYCHOLOGY I (3),PSYC 1200 INTRODUCTION TO PSYCHOLOGICAL SCIENCE (4)
CONNECTICUT STATE COMMUNITY COLLEGE NAUGATUCK CAMPUS,PSY 2045 ABNORMAL PSYCHOLOGY (3),PSYC 2000 PSYCHOLOGY ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,ART 1000 ART APPRECIATION (3),ARTS 1000 ARTS ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,ART 1450 DIGITAL PHOTOGRAPHY I (3),ARTS 1000 ARTS ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,CHEM 1210 GENERAL CHEMISTRY I (4),CHEM 1100 CHEMISTRY I (4)
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,CIS 1104 INTRODUCTION TO OPERATING SYSTEMS (3),NT NOT TRANSFERABLE
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,CSC 1271 WEB DEVELOPMENT AND DESIGN I (4),ITWS 1000 INFORMATION TECHNOLOGY AND WEB SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,CSC 2213 OBJECT ORIENTED PROGRAMMING (4),CSCI 1100 COMPUTER SCIENCE I (4)
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,CSC 2218 SOFTWARE ENGINEERING METHODS (4),CSCI 1000 COMPUTER SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,CSC 2219 INTRODUCTION TO BIOINFORMATICS (3),BIOL 1000 BIOLOGY ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,CSC 2272 WEB DEVELOPMENT AND DESIGN II (4),ITWS 1000 INFORMATION TECHNOLOGY AND WEB SCIENCE ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,"EET 1044 FUNDAMENTALS OF ELECTRIC CIRCUITS & MACHINES (3)
EET 1045 FUNDAMENTALS OF ELECTRIC CIRCUITS & MACHINES LAB (1)",ENGR 2300 ELECTRONIC INSTRUMENTATION (4)
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,EGR 1110 INTRODUCTION TO ENGINEERING (3),ENGR 1000 ENGINEERING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,EGR 1115 PROGRAMMING FOR ENGINEERS (3),ENGR 1000 ENGINEERING ELECTIVE ()
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,EGR 2211 ENGINEERING STATICS (3),ENGR 1100 INTRODUCTION TO ENGINEERING ANALYSIS (4)
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,EGR 2212 ENGINEERING DYNAMICS (3),ENGR 2090 ENGINEERING DYNAMICS (4)
CONNECTICUT STATE COMMUNITY COLLEGE NORTHWESTERN CAMPUS,EGR 2215 THERMODYNAMICS I (4),ENGR 2250 THERMAL AND FLUIDS ENGINEERING I (4)
